Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
03,2024,03,12,12,07,35,0.173,-0.042,NaN,45.056,44.611,NaN,417.387,419.977,16439.38,4.345
03,2024,03,12,12,07,35,0.219,-0.102,NaN,43.458,44.834,NaN,467.345,458.251,16427.64,4.345
03,2024,03,12,12,07,36,0.347,-0.092,NaN,46.01,43.784,NaN,398.549,476.131,16433.26,4.349
03,2024,03,12,12,07,36,0.346,-0.07,NaN,44.9,45.84,NaN,406.297,501.426,16460.82,4.345
03,2024,03,12,12,07,37,0.372,-0.052,NaN,44.945,45.125,NaN,336.406,591.419,16455.92,4.345
03,2024,03,12,12,07,37,0.232,-0.037,NaN,46.564,44.186,NaN,403.31,468.108,16433.25,4.341
03,2024,03,12,12,07,38,0.187,-0.09,NaN,46.72,44.32,NaN,337.503,496.985,16458.22,4.345
03,2024,03,12,12,07,38,0.185,-0.081,NaN,42.66,45.639,NaN,347.416,516.291,16442.54,4.349
03,2024,03,12,12,07,39,0.083,-0.096,NaN,48.361,44.365,NaN,308.953,570.647,16466.54,4.349
03,2024,03,12,12,07,39,0.218,-0.031,NaN,45.344,46.309,NaN,275.444,566.093,16458.03,4.349
03,2024,03,12,12,07,40,0.183,-0.047,NaN,45.877,43.806,NaN,328.052,527.432,16458.38,4.349
03,2024,03,12,12,07,40,0.109,-0.057,NaN,45.877,45.08,NaN,363.691,559.456,16438.39,4.349
03,2024,03,12,12,07,41,0.041,-0.045,NaN,43.547,44.387,NaN,386.064,549.76,16437,4.349
03,2024,03,12,12,07,41,0.173,-0.068,NaN,44.102,44.991,NaN,344.917,665.083,16445.55,4.345
03,2024,03,12,12,07,42,0.272,-0.145,NaN,47.008,45.415,NaN,373.458,644.032,16456.95,4.349
03,2024,03,12,12,07,42,0.28,-0.034,NaN,43.547,43.471,NaN,411.876,611.966,16444.36,4.349
03,2024,03,12,12,07,43,0.167,0.005,NaN,44.191,45.773,NaN,400.382,551.226,16443.62,4.349
03,2024,03,12,12,07,43,0.268,-0.081,NaN,43.059,41.258,NaN,350.568,528.997,16450.71,4.349
03,2024,03,12,12,07,44,0.281,-0.087,NaN,47.274,45.371,NaN,368.539,578.599,16441.84,4.349
03,2024,03,12,12,07,44,0.249,-0.055,NaN,44.59,45.147,NaN,389.32,570.512,16440.45,4.349
03,2024,03,12,12,07,45,0.318,-0.111,NaN,47.474,46.242,NaN,371.57,580.059,16454.7,4.349
03,2024,03,12,12,07,45,0.32,-0.149,NaN,46.387,46.756,NaN,330.185,628.249,16456.2,4.349
03,2024,03,12,12,07,46,0.263,-0.052,NaN,43.592,45.482,NaN,272.102,527.742,16454.42,4.349
03,2024,03,12,12,07,46,0.346,-0.09,NaN,45.255,45.058,NaN,310.648,540.412,16448.67,4.349
